name	lat	lon	fcode	population
Vancouver	49.24966	-123.11934	PPL	662248
Surrey	49.10635	-122.82509	PPL	568322
Victoria	48.4359	-123.35155	PPLA	289625
Burnaby	49.26636	-122.95263	PPLA3	249125
Richmond	49.17003	-123.13683	PPL	209937
Coquitlam	49.2846	-122.78217	PPLA3	148625
Kelowna	49.88307	-119.48568	PPL	144576
Abbotsford	49.05798	-122.25257	PPL	141397
Langley	49.10107	-122.65883	PPL	132603
Saanich	48.54964	-123.36931	PPL	117735
Kamloops	50.66648	-120.3192	PPL	104460
Delta	49.08917	-123.05322	PPL	101668
Chilliwack	49.16638	-121.95257	PPLA2	101491
Nanaimo	49.16638	-123.94003	PPL	90504
North Vancouver	49.31636	-123.06934	PPL	88168
Maple Ridge	49.21939	-122.60193	PPL	82256
Prince George	53.9166	-122.75301	PPL	78943
New Westminster	49.20678	-122.91092	PPL	78916
Fleetwood	49.16667	-122.8	PPL	65565
Port Coquitlam	49.26637	-122.76932	PPLA3	58000
Langford	48.44963	-123.50261	PPL	46584
West Vancouver	49.3286	-123.16019	PPL	45487
Mission	49.13298	-122.30258	PPL	41519
Strawberry Hill	49.13333	-122.88333	PPL	41000
Vernon	50.26729	-119.27337	PPL	40116
Penticton	49.48062	-119.58584	PPL	33761
Campbell River	50.01634	-125.24459	PPL	33430
Victoria-Fraserview	49.21667	-123.06667	PPL	31065
North Cowichan	48.84133	-123.68596	PPL	29676
West Kelowna	49.8625	-119.58333	PPL	28793
Courtenay	49.68657	-124.9936	PPL	28420
Port Moody	49.28124	-122.82457	PPLA3	27512
Walnut Grove	49.16473	-122.64042	PPL	25683
Squamish	49.69925	-123.15631	PPL	23819
White Rock	49.02049	-122.79507	PPL	23670
Riley Park	49.24303	-123.09319	PPL	22555
Duncan	48.78293	-123.70266	PPL	22199
Fort St. John	56.24988	-120.85292	PPL	21465
Port Alberni	49.24133	-124.8028	PPL	20712
Cranbrook	49.49991	-115.76879	PPL	20047
Terrace	54.51634	-128.60345	PPL	19443
Salmon Arm	50.69981	-119.26907	PPL	19432
Pitt Meadows	49.22119	-122.68965	PPL	18573
Oak Bay	48.44964	-123.3026	PPL	18015
Esquimalt	48.43569	-123.41174	PPL	17655
Central Saanich	48.56634	-123.41932	PPL	17385
Colwood	48.43293	-123.48591	PPL	16859
Lake Country	50.0088	-119.39672	PPL	15817
Sooke	48.37463	-123.72762	PPL	15086
Burquitlam	49.26667	-122.88333	PPL	14896
Comox	49.68294	-124.93613	PPL	14806
Prince Rupert	54.31507	-130.32098	PPL	14708
Williams Lake	52.14153	-122.14451	PPL	14168
Powell River	49.83278	-124.52368	PPL	13157
Aldergrove	49.05801	-122.47087	PPL	12363
Dawson Creek	55.75984	-120.2403	PPL	12323
Sidney	48.64964	-123.40262	PPL	12318
Parksville	49.31947	-124.31575	PPL	12000
Clayburn	49.0691	-122.26176	PPL	11755
Summerland	49.59977	-119.66911	PPL	11615
View Royal	48.45793	-123.45261	PPL	11575
Coldstream	50.21649	-119.20235	PPL	11171
North Saanich	48.66634	-123.41933	PPL	11089
Nelson	49.49985	-117.28553	PPL	10664
Tillicum	48.45	-123.4	PPL	10080
Hanceville	51.91922	-123.04458	PPLL	10000
Quesnel	52.97842	-122.4931	PPL	9879
Qualicum Beach	49.34783	-124.44231	PPL	9303
Kitimat	54.05244	-128.65342	PPL	8987
Sechelt	49.47512	-123.75903	PPL	8832
Harewood	49.1474	-123.94739	PPLG	8769
Whistler	50.11817	-122.95396	PPL	8713
Ladysmith	48.99016	-123.81699	PPL	8537
Castlegar	49.32317	-117.65831	PPL	8338
